
========================================================================
  ALL-TRACKS COMPREHENSIVE RESULTS REPORT
  Generated : 2026-05-19
  Tracks    : CharlesTown, Delta Downs, Evangeline Downs, Fair Grounds, Fairmount Park, Gulfstream Park, Mahoning Valley
  Min starts: 5 (trainers/jockeys) | 3+ wins (iron horses)
========================================================================


========================================================================
  TRACK: CHARLESTOWN
  Files : 394 processed  |  0 skipped
  Races : 3233
========================================================================

  -- TRAINER WIN STATS (min 5 starts) --
  Name                               Sts    W    Win%   Avg $Win
  Schneider, Joseph                   69    4    5.8%      $9.30
  Torrealba, J.G.                      9    3   33.3%     $10.53
  Rodriguez, Darwin                   22    3   13.6%      $5.60
  Lyapustina, Tais                    26    3   11.5%     $16.53
  Torres, Jomar                       34    3    8.8%     $10.80
  Luna, Paul                          37    3    8.1%     $43.13
  Lara, Victor                        69    3    4.3%     $11.00
  Rios-Conde, Alexis                 126    3    2.4%     $14.73
  FR                                   5    2   40.0%      $5.70
  Toledo, Jevian                       5    2   40.0%      $3.00
  Vargas, Jose                         9    2   22.2%      $3.20
  IRE                                 12    2   16.7%     $34.50
  Mauricio, Jose                      15    2   13.3%     $13.40
  GB                                  17    2   11.8%      $9.80
  Crispin, Alexander                  20    2   10.0%      $6.70
  Chilo, Jacinto                      20    2   10.0%     $18.70
  Reynolds, Austin                    22    2    9.1%      $5.20
  Mayhew, Glenmore                    33    2    6.1%     $46.90
  Ramgeet, Andre                      81    2    2.5%     $85.20
  Ortiz, Jose                          5    1   20.0%      $4.20
  Leon, Jose                           5    1   20.0%      $5.40
  Ortiz, Jr., Irad                     7    1   14.3%      $7.00
  Tunon, Jordano                       7    1   14.3%      $2.20
  Saez, Luis                           8    1   12.5%      $9.20
  Lopez, Jose                         10    1   10.0%      $3.40
  Batista, Alexis                     12    1    8.3%     $14.40
  Molina, Maikol                      14    1    7.1%     $22.80
  Burnham, Matilda                    18    1    5.6%     $89.40
  Cruz, Kelvin                        19    1    5.3%     $22.20
  Villasmil, Edgar                    19    1    5.3%     $68.80
  Stanley, Angel                      26    1    3.8%      $3.20
  Pagan, Michael                      32    1    3.1%      $5.60
  Gilbert, Kyle                       71    1    1.4%      $6.40
  Whitacre, Brandon                    7    0    0.0%        ---
  Scampton, Brittany                   7    0    0.0%        ---
  McKenzie, Connie                    34    0    0.0%        ---
  Galvan, Jhair                       10    0    0.0%        ---
  Nunez, Alisson                       6    0    0.0%        ---
  Diaz, Jose                          12    0    0.0%        ---
  JPN                                  5    0    0.0%        ---
  Alvelo, Jean                        13    0    0.0%        ---
  Lugo, Jr., Jaime                    14    0    0.0%        ---
  Hernandez, Jairo                    27    0    0.0%        ---
  Gonzalez, Kevin                      5    0    0.0%        ---
  Francis, Omelio                     13    0    0.0%        ---
  Gilpin, Sean                        33    0    0.0%        ---
  Baez, Jan                            8    0    0.0%        ---

  -- SIRE WIN COUNTS --
  Sire                                    W
  ------------------------------------  ---
  Juba                                  162
  Fiber Sonde                           139
  Golden Years                           95
  Windsor Castle                         90
  Uncle Lino                             70
  Great Notion                           62
  Denis of Cork                          52
  Limehouse                              48
  Candygram                              47
  Bullsbay                               46
  Golden Lad                             46
  Aldrin                                 37
  Irish War Cry                          30
  Redirect                               30
  Divining Rod                           29
  Blame                                  29
  Maximus Mischief                       29
  Creative Cause                         28
  Midshipman                             28
  Capo Bastone                           24
  Barbados                               24
  Upstart                                23
  Bucchero                               23
  Mo Town                                23
  Girvin                                 23
  Mitole                                 23
  Mastery                                22
  Cajun Breeze                           20
  Collected                              20
  Practical Joke                         19
  Long River                             18
  Kantharos                              18
  Into Mischief                          17
  Blofeld                                17
  Speightster                            17
  Gormley                                16
  Unified                                16
  Outwork                                16
  Paynter                                15
  Gattopardo                             15
  Imagining                              15
  Goldencents                            15
  Holy Boss                              15
  Flat Out                               14
  Vino Rosso                             14
  Stay Thirsty                           14
  Cupid                                  14
  Hard Spun                              14
  Three Chopt Road                       14
  Cloud Computing                        13
  Mucho Macho Man                        13
  Despite the Odds                       13
  Competitive Edge                       12
  Dialed In                              12
  Bourbon Courage                        12
  West Coast                             12
  Runhappy                               12
  Super Ninety Nine                      12
  Audible                                12
  Friesan Fire                           12
  Mendelssohn                            12
  Weave It to Me                         11
  Munnings                               11
  Tapiture                               11
  The Factor                             11
  Cairo Prince                           11
  Mor Spirit                             11
  Street Magician                        11
  Nyquist                                11
  Siente El Trueno                       10
  Bayern                                 10
  Rainbow Heir                           10
  Bustin Stones                          10
  Always Dreaming                        10
  Wicked Strong                          10
  Frosted                                10
  Madefromlucky                          10
  McCraken                               10
  Accelerate                             10
  Complexity                             10
  Lord Nelson                            10
  Flameaway                              10
  Union Rags                              9
  Exclusive Quality                       9
  Keen Ice                                9
  Take Charge Indy                        9
  Jimmy Creed                             9
  Strong Mandate                          8
  Unbridled Energy                        8
  Spiritus Invictus                       8
  Classic Empire                          8
  Klimt                                   8
  Air Force Blue                          8
  Solomini                                8
  Jump Start                              8
  Done Talking                            8
  Saratoga Syndicate                      8
  Honor Code                              8
  Alpha                                   8
  Mosler                                  8
  Sharp Azteca                            8
  Gandhi                                  7
  Twirling Candy                          7
  Malibu Moon                             7
  Peace and Justice                       7
  Exaggerator                             7
  Hoppertunity                            7
  Force the Pass                          7
  Enticed                                 7
  Echo Town                               7
  Street Boss                             7
  Vekoma                                  7
  Catholic Boy                            7
  Secret Circle                           6
  Our Entourage                           6
  Uncaptured                              6
  Curlin                                  6
  Shackleford                             6
  Heart to Heart                          6
  Mr. Prankster                           6
  Tapwrit                                 6
  Souper Speedy                           6
  Army Mule                               6
