
========================================================================
  ALL-TRACKS COMPREHENSIVE RESULTS REPORT
  Generated : 2026-05-19
  Tracks    : CharlesTown, Delta Downs, Evangeline Downs, Fair Grounds, Fairmount Park, Gulfstream Park, Mahoning Valley
  Min starts: 5 (trainers/jockeys) | 3+ wins (iron horses)
========================================================================


========================================================================
  TRACK: CHARLESTOWN
  Files : 394 processed  |  0 skipped
  Races : 3233
========================================================================

  -- TRAINER WIN STATS (min 5 starts) --
  Name                               Sts    W    Win%   Avg $Win
  Stanford                                4
  Revolutionary                           4
  Cross Traffic                           4
  Brethren                                4
  Swiss Yodeler                           4
  Justify                                 4
  Mr Speaker                              4
  Algorithms                              4
  Will Take Charge                        4
  Connect                                 4
  Tapit                                   4
  Good Samaritan                          4
  Authentic                               4
  Winchill                                4
  Summer Front                            4
  Uncle Mo                                4
  Awesome Slew                            4
  Misremembered                           3
  Oxbow                                   3
  Adios Charlie                           3
  Real Estate                             3
  Tamarkuz                                3
  Field Commission                        3
  Mineshaft                               3
  Reload                                  3
  More Than Ready                         3
  Street Sense                            3
  Violence                                3
  Medallist                               3
  Coal Front                              3
  War Dancer                              3
  Speightstown                            3
  Tale of the Cat                         3
  Khozan                                  3
  Mission Impazible                       3
  Overanalyze                             3
  Tale of Ekati                           3
  Constitution                            3
  Optimizer                               3
  Catalina Cruiser                        3
  Last Print                              3
  English Channel                         3
  Rogueish                                3
  Thousand Words                          3
  Gift Box                                3
  Code of Honor                           3
  Empire Way                              3
  Songandaprayer                          3
  Mohaymen                                3
  Good Magic                              3
  World of Trouble                        3
  Spun to Run                             3
  Redesdale                               2
  Shaman Ghost                            2
  Country Day                             2
  Global Force                            2
  Dominus                                 2
  Frost Giant                             2
  Palace Malice                           2
  Carpe Diem                              2
  Garnered                                2
  Get Stormy                              2
  Lord of Greatness                       2
  Free Drop Billy                         2
  Bahamian Squall                         2
  El Deal                                 2
  Machen                                  2
  My Golden Song                          2
  Global Campaign                         2
  Seattle Serenade                        2
  Quality Road                            2
  Jack Milton                             2
  Omaha Beach                             2
  Flatter                                 2
  Hangover Kid                            2
  Sky Kingdom                             2
  Beautyinthepulpit                       2
  Weekend Hideaway                        2
  First Mondays                           2
  Majesticperfection                      2
  Tale of Verve                           2
  Greenpointcrusader                      2
  Tekton                                  2
  Master Rick                             2
  No Nay Never                            2
  Copper Bullet                           2
  Hightail                                2
  Firing Line                             2
  Midnight Lute                           2
  Noble Bird                              2
  McKinzie                                2
  Mr. Money                               2
  Social Inclusion                        2
  Ironicus                                2
  Knicks Go                               2
  Tacitus                                 2
  Gunnevera                               2
  Improbable                              2
  Gone Clubbing                           1
  Bluegrass Cat                           1
  Unbridled Express                       1
  Fed Biz                                 1
  Verrazano                               1
  Broad Rule                              1
  Hello Broadway                          1
  Cat Genius                              1
  Tapizar                                 1
  Bobalicious                             1
  Gio Ponti                               1
  Danza                                   1
  Majestic City                           1
  Not Bourbon                             1
  Tourist                                 1
  Xixixi                                  1
  Cage Fighter                            1
  Monster Mash                            1
  Japan                                   1
  Midnight Storm                          1
  Greek Sun                               1
  Northern Afleet                         1
  Etched                                  1
  Redeemed                                1
  Bodemeister                             1
  Run Away and Hide                       1
  Cuba                                    1
  Spring Warrior                          1
  Protonico                               1
  Temple City                             1
  Unfettered                              1
  War Correspondent                       1
  Morning Line                            1
  Langfuhr                                1
  Liaison                                 1
  Brother Derek                           1
  Lone Star Special                       1
  Hit It a Bomb                           1
  Mr. Big                                 1
  Daredevil                               1
  Ali                                     1
  Charitable Man                          1
  Ransom the Moon                         1
  Ghostly Minister                        1
  Don Six                                 1
  Fog of War                              1
  Mshawish                                1
  Ice Box                                 1
  Decisive Moment                         1
  Flashback                               1
  Awesome Bet                             1
  Bee Jersey                              1
  Hootenanny                              1
  Stormy Atlantic                         1
  Saburo                                  1
  Empire Maker                            1
  First Dude                              1
  War of Will                             1
  Neolithic                               1
  Guilt Trip                              1
  Woke Up Dreamin                         1
  Sweetontheladies                        1
  Independence Hall                       1
  By My Standards                         1
  Orientate                               1
  Seeking the Soul                        1
  Hey Chub                                1
  Distorted Humor                         1
  Orb                                     1
  Eclipticalspraline                      1
  Rock Your World                         1
  King for a Day                          1
  Rookie Sensation                        1
  Known Agenda                            1
  Joevia                                  1
  Chitu                                   1
  Modernist                               1
  Tiz the Law                             1
  Laoban                                  1
  Itsmyluckyday                           1
  Airoforce                               1
  Om                                      1
  Funtastic                               1
  Alternation                             1
  Lukes Alley                             1
  Game Winner                             1
  Beau Liam                               1

  -- IRON HORSES (3+ wins) --
  Horse                                   W
  ------------------------------------  ---
  Gran Andrews                           16
  Overnight Pow Wow                      11
  Teachintherelease                      11
  Hey Boots                              11
  No Love for Juba                       10
  Duncan Idaho                           10
  Restless                               10
  Little Bit of That                      9
  Cherokee Castle                         9
  Maggie's Girl                           9
  Im the Director                         9
  Pork Chop Pete                          8
  Gold Fiber                              8
  Stryda                                  8
  Moonlit Notion                          8
  Hopping Henry                           7
  Here's a Quarter                        7
  Time to Rock                            7
  Estrella Fugaz                          7
  Valhalla's Palace                       7
  Petty Perfect                           7
  Xcellent Start                          7
  Strive for Stride                       7
  Jubawithatwist                          7
  Ozone                                   7
  Charge Nurse                            7
  Dreamy Sonde                            6
  Jazz With Denis                         6
  Miss Bee Bop                            6
  Sisyphus                                6
  Frenchies Gold                          6
  Play It Loud                            6
  Judgement Day                           6
  Shewonttalktome                         6
  Hurricane Alert                         6
  Nocashrefunds                           6
  Cajun Joe                               6
  Mark Did It                             6
  Runaldo                                 6
  Sarah's Candy Camp                      6
  Thunderturtle                           6
  Blameitonthefun                         6
